Review,Generated
This car beats the pants off the other remote control toys because1 it lights up2 big soft rubber wheels dont cause damage when they bump furniture3 the twisting action is cool4 gets itself out of trouble5 it lights upThis toy is the best bang for the buck  gift for a 9year old and hit of the party and beyond,1
Maybe it was my mistake but I thought it was a good idea for a small screen Great product Great price I am using it with the TRS80 and it works just fine Just be aware that it will not work with the VCR The device does not work with Android 8 0 or 9 0 Its not compatible with the Samsung Galaxy Tab 4 It will not work with the Galaxy Tab S I have a Galaxy Tab S Its not compatible with the Samsung Galaxy Tab S I have a Galaxy Tab S Its not compatible with the Samsung Galaxy Tab S Its not compatible with the Samsung Galaxy Tab S I have a Galaxy Tab S I dont know if its the Samsung Galaxy Tab S or the Samsung Galaxy Tab S I have a Galaxy Tab S I have a Galaxy Tab S I dont know if the Samsung Galaxy Tab S is the best device,0
These things need to be wider and stronger They stretch out to easily and the sowing comes apart on the Velcro after a couple of months,1
A unique tool that does what it is suppose to doThe only reason Im giving it 4 stars is because I am using it in the middle of a construction project and it is not well balanced  The handle is extremely thick  This is a problem for most people  It is very difficult to keep,0
Take out the tissue  Hearbreakingly sad with true to life situation  I thoroughly enjoyed reading this book  Good content and character development  I loved the plot which included the crazy OMalley family  Looking forward to the rest of the seriesFour stars because the cover and title dont relate to the story at all,1
My son loves this The older he gets the more he enjoys it He ate the sticker off of the front Wish this had been colored plastic instead because now the large button is just white Doesnt seem to bother him though,1
I cannot say enough to warn you away from this pillow  please save your moneyMy husband bought this pillow hoping it would be as stellar as its description and it falls short in every way After 2 months of trying to make it work because it was SO expensive he gave up and returned to his old pillow I then took up the cause because it was SO expensive and tried to make it work   There is not a slant from either side that is comfortable for your neck   The material collapses with the weight of your head   No benefit to snoring   Not comfortable if you sleep on your back my husband   Not comfortable if you sleep on your side meSo after months of trying to literally make this work I emailed about getting a return because MOST other expensive pillow companies have 1 or 5 year guaranteesnot this place They give you so many days to return it My mistake to trust people because they are nurses Why would nurses sell pillowsNow we have this pillow no one likes even our house guests have tried it and preferred other older pillows to this one,1
Super cute and generous size  Would recommend  My daughter loves it  Impressed how well it stands,1
the book goes to show how 150 students come to be a  family it is amazing how the world can change for studets in their situation,1
Our church has several fundraisers and an outdoor garden area I will be purchasing a new one for the garden area  The house is designed to be a very attractive place to live and provide a nice environment to live in  The outdoor garden area is very well made and has several sun and humidity controls  I will be buying a second one for the backyard area as well  I will be posting pictures of the outdoor garden and the garden as well as photos of the garden from the outside of the house  The house will be fairly large and it will not be too big for a small room  I have used the house for over a year and it is still,0
My 5 year old grandson loves these  He uses them to drive Dino construction toys,1
This monitor is gigantic and a pretty good value  I have really enjoyed using it enough that I am thinking of buying one and carrying it to work  I dont know if it really is better on the eyes but its beautiful,1
Great for the girls Im 36d and bought a small,1
This shoe is not only beautiful and elegant but it has a firm structure and feels like a walking shoe I can wear them all day at work and all evening for a night on the town,1
Great remake It took me a couple of watches but I loved the story and cinematography,1
This is possibly one of the most entertaining movies Ive seen in a long time  If you like thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers thrillers,0
Nice flip flops but they are a little wide on meNice for the price,0
Ambrose the hero of this book is an alcoholic He is a detective a former Marine He is not the type of guy you want to have a drink with He is a man of honor and integrityI liked the ending I liked the characters I loved the story I liked the characters I loved the fact that they were together I liked that there was a scene with the hero and heroine that was very sweet and a little hot I liked the fact that there was a scene where the heroine felt the need to apologize to the heroI think this book is definitely a must read for anyone who loves,0
I have a confessionthis is my first Nicholas Sparks book It will not be my last This was such a sweet story with some good humor drama and a little scary thrill thrown in that I was hooked quite literally from the first page I wondered if this would just be a remake of Sleeping with the Enemy but Sparks worked his magic and developed beautiful charming and delightful characters Cant wait to see the movie but unless they use the actual book as the script can it ever be better I think not Everyone should read this book,1
This is a great book that I refer to on a regular basis  There is a sufficient amount of math so that users have some background on procedures  There is a great collection of examples with R code so that procedures can be easily implemented  Most of the procedures use standard frequentist methods though there are a few examples of Bayesian analyses  Highly recommended for applied scientists who are comfortable with basic concepts of statistics R and GIS,1
I finally gave up searching for an electric kettle and decided to try this one I have one in my bathroom and the other in a closet The kettle is a little louder and its a bit louder when I open the door The size is perfect and the handle is very comfortable I love it I did get a free sample of this kettle at the store I received my free sample of this kettle at a discounted rate in exchange for my honest and unbiased review Thank youI bought this as a Christmas present for my son for his first time He loves it and he loves it It is a nice size for a small toddler and I am very happy with the purchase I cant wait to use it for gifts for my son We are very happy with this purchaseGreat bedspread I bought this for my 2 year old to sleep on while shes sleeping It works great Its very light and soft Its not thick like some other sheets Ive seen Ive had it for over a year now and its still holding up well Ive never had it break or have it fall apart I also like the way its folded and the fact that it has a flat bottom so it doesnt clog up the pillows Ive had it for about a month now and its still holding up well Its very comfortable and comfortable to sleep on It was a gift for my 2 year old I love the fact that this is made in China,0
Wuliff Tactical Knife with Foldable Blade  6  Inch Overall Length Stainless Steel Pocket Knife Durable Lightweight Design Secure Locking Mechanism Rust Resistant UltraSharp BladeExceptional knife especially for the price  Even my husband who collects knives was impressed with this one  First off this foldable tactical knife by Wuliff shipped fast and arrived well packaged and in perfect condition  Knife measures 65 inches long by 5 inches by 5 inches so is a great size for an EDC knife  Knife is made from stainless steel and is foldableThe first thing I noticed about this knife was the design  It has a nice sleek look to it  And the handle is comfortable to hold especially for those like me with smaller hands  Me and my husband both have pocket knives we carry every day And we both are avid hikers campers outdoorsmen so have quite a few tactical knives  So we compared the size and sharpness to those knives which were double and triple the price of this one  It was a bit smaller than the knives we were carrying but this is actually a good thing It is much more comfortable in your pocket and not bulky at all  As far as sharpness  this was extremely sharp  I cannot say how long the sharpness will last or how well it will sharpen back up  But after more use and sharpening I will update this  Knife is nice and light yet seems pretty durable  Have only used it for small jobs but so far its been great  Locking mechanism works perfectly and it is easy to open and close  For the last week my husband has replaced his regular knife with this one and loves it  Is this knife as good as a Kbar or SOG No but it also doesnt cost close to those  For the price this is a great every day pocket knife,1
Well if youre like me you will get the queen size in when you ordered the king Even the package said king size The material felt good but to no avail,1
As an up and coming author I thought the book was a nice addition to the series The story is told from the point of view of the heroine and the hero I enjoyed that it was told in a way that I could read it This was an excellent readI loved this book I was hooked from the very beginning I loved it I cant wait to read the next book in the series Im on my way to reading the next bookI read this book in one sitting and I absolutely loved it I was so excited to read this story The characters were real and the story flowed perfectly I could not put it down and I loved it I couldnt put it down I cant wait to see what happens next I highly recommend this book to everyoneThis was a great book I liked the fact that it was not a stand alone but I will read the whole series I cant wait for the next oneI liked this book but was frustrated with the characters  The story was too long and rushed  It was hard to,0
Bought these safety glasses for chipping out a tile floor and then grinding down the mortar Worked very well Fit snug to the face which is what I was looking for to avoid porcelain shards in my eye Because of the snug fit they do fog when sweating however so you will need to stop from time to time and wipe the lense or use anti fog drops on the lenses like scuba divers do,1
This is very helpful when walking our 2 pups the only problem we run into is that or pups are different heights and so I had to shorten the length on pne side,1
I bought this because my son was given a similar track system made by a competitor and loved it for the short time it functioned handmedown gift  However all the vehicles were broken or lost besides the one I managed to rig up for a while  I set out to find replacement cars and could not  So buying this was the next best thingLet me tell youmy son absolutely loves this set  In fact he didnt stop playing with it for the entire first day he had it  It seems wellmade taking the price into account  The track length is actually perfect considering I use the other one simultaneously The cars have a lot of get up and go as wellI am most impressed with the inclusion of extra parts  Id read reviews on Amazon before purchasing this set that complained about issues with the tire treadsWhen I opened the box I found several replacement treads among other extras  The track is easy for me to assemble and disassemble but not for my two year oldThe set I received actually had a few additional parts to the track not shown in the picture which adds to the funIm worried about the cars being damaged because my son is a bit rough with them and there seems to be no way to replace just the vehicles if this does happen So that annoys me but overall Im very pleased with this purchase and my son didnt stop smilingMy 9yearold god son likes it as well,1
These are exactly what I was looking forThey fit perfectly in the toast over pan and work great for when you are baking items for easy clean up and non stick surfaces They are perfect for baking cookies on or just protecting your pans from getting burnt stuck on foods on them I really like that these fit perfectly in the pans that come with my toaster oven they are perfect for everyday use as well as just every so oftenThey are very easy to clean its like the cookies just slide off of these I pick them up one side and they just slide off of the mat and onto your platter or others I mean you can actually just wipe the sheets off with a cloth I know that may sound silly but I dont wash these per say I am just worried that soap would be a little harsh for these kinds of baking mats so I just use really hot as my hands can stand water and scrub them with a wash cloth I really love these baking mats they are great for anything that you are cooking Oh cheese who hates baking cheese onto things I know that I do Because cleaning the pans are too hard to really want to do it but with these you dont have that problem with these mats the cheese comes right off with no problemsDisclaimer I received these at discount for my opinion other opinions may vary,1
Awesome This is the third book in the Take a Chance series and I couldnt put it down At the same time I never wanted it to end because I was not ready to say goodbye to two such wonderful characters I sure hope there are more books coming about the Chance family,1
This is a very comfortable and supportive top It is very comfortable and my son loves itGreat quality and fit The fit is perfect and the fit is true to sizeI like it It fits great Im a size 105 and this is the perfect size I bought a medium because I wanted it to be a little more loose around the top of my foot but Im sure it will loosen up if you go up a sizeThis is a great wallet for the price Its very light weight and the wallet is very well made,0
This is a great respirator It fits very tightly and securely to my face I plugged up the intake holes and could not get air in at all even from the sides of the mask itselfWith the filters in place breathing is easy Exhalation is like breathing without a mask and you can barely tell that there is a little extra work when breathing inOn top of this the mask is also pretty comfortable for a respirator The silicon part that deals to your face is very soft,1
This story Unruly Hearts really delivered the romance that I was looking for in spades I found West simply irresistible the combination of hot handsome wellintentioned neighbor struggling with awkwardly emerging lover along with a heroine who stars in this story for much more than her beauty was perfect The love that grew between West and Annie reminded me of what my mother told me about love  when a man says he loves you when you look your best its a compliment when he says it in the garden and youre covered in dirt its a declaration In this story you also get a second romance a mixup on engagements and a really nasty villain Another thing I liked about this story was the strong female friendships that are too seldom found in literature This story was well written and the story flowed well The imagery was exceptionally well done I could practically see hear smell and especially taste the dust behind the cattle The only false note in the story was Clara I felt her hesitation about setting a wedding date didnt fit her character and her indecision about marrying West when she had feelings for Jones just plain felt wrong to me Thats why I gave this story four stars instead of five but even with this one flaw its still a very enjoyable romance with some graphic lovemaking but no vulgar language The reason I said lovemaking is there is nothing more than passionate kissing until West and Annie are engaged  For anyone looking for a historical western romance that makes you give a big smile at the HEA ending then I definitely recommend this one,1
I rated this book a 5 Star because it kelp my interest from  the beginning To the end  I could hardly stop reading it I would recommend this book to ladies who like love stories,1
Home Depot added a store brand line of lowercost LED bulbs and put their Feit bulbs on the clearance rack I bought a package of 6 bulbs for 790  installed them and was so impressed with the quality and brightness I went back and bought four more packages to give to friends and relatives  These are highquality bulbsThey FEEL sturdy I like LED bulbs that have the ceramic band around the bottom  Theyre less fragile and I have cats  The metal base is solidly connected to the bulb and it screws in to the socket with a tight connection  They come on instantly with no flickering  The light streams from the bulbs in all directions so that you get full coverageAnd theyre BRIGHT I was hesitant to buy them because the package is marked warm white  I prefer daylight or natural light bulbs because they give off more light  I dont want ambiance  I just want to be able to see where Im going  However these produce a strong natural looking light with very little yellow in it Theyre supposed to be 60Wequivalent but the brightness is similar to 75Wequivalent LED bulbsBecause theyre so reasonably priced I felt that I could use them to replace the CFL bulbs in my basement and the difference is incredible The four ceiling fixtures in my basement have uncovered bulbs so I appreciate the sturdiness of the Feit bulbsI bought these locally and on sale but the regular price of under 20 for a package of six bulbs is very reasonable given the quality of the bulbs  If you want strong light especially in a place where the bulb may be bumped into I think these are an excellent choice,1
Cialdinis classic book on influence an academic study on the influence of science on art  This is a fascinating book that is worth reading  The author explains the significance of the influence of science on art and explains how it affects the way artists are portrayed and how,0
Adidas fitness gloves for my 13 year old son  He loves them  I have them in a pair of the best yoga pants I have ever owned and wear them often  The color is beautiful and the material feels like it will last,0
Gave five stars and would have given more if availablethis was a wonderful story of love heartache  forgiveness  Such a beautifully written story  I enjoyed this story so much when you read have the tissues handyit was a wonderful inspirational story  Thanks to the author Kimberly Rae Jordan for this special story  Will definitely recommend to others,1
Talk about family dysfunction This is an entertaining movie and I will watch it againVery good I really enjoyed the movie The characters and the story were great The acting was great The acting was great The acting was good,0
I thought the attachments might be a little too long I will keep my dog in the crate I bought this for a friend who has a small dog and she had a very large ear It was her only ear,0
This is a very comfortable bra for around the house  which is what I wanted Those looking for good support should look elsewhere but for those who seek evening comfort at home after a long day in underwires this bra is perfect I did order two sizes up from my normal 36 I ordered a 40 because it was too binding at a smaller size I am 52 and about 125 lbs my torso is short so that may have been why a smaller size was binding on me The front of the bra is about five inches long and rests over my ribs so I just keep the bottom two hooks unfastened and all is well but i did order a larger size than normal for me The unhooked hooks do not dig into me at all,1
I like this series  It has a lot of twists and turns in it  I found that it was hard to put down  good read for anyone that likes this style of books,1
the purple is exactly like the picture the chain is thick enough to make it hard to put on  The material is nice but the chain is a bit thin  The only thing I would say is that the size is way too small  Otherwise its a great buy  I will be wearing it for a whileI ordered a size up from normal and it fits just fine  I love the color and the design  Its very comfortable  I have a wide foot and the boots are too wide which is why I was able to return them  I am happy with them and will be buying more of them  I am very pleased with them and will be returning themI loved these shoes They are very comfortable and warm My feet have a little room to grow in the toes but I do like them I wear a size 6 and these fit perfectly I will order a size 7 if I can find a size up The material is good The sole is very soft and comfortable I wear a 95 and these fit perfect I would recommend these shoes They are a great fitThis is a very nice watch  I was worried that it would be too small,0
I would highley recommend this product The quality is good My daughter loves itVery niceI bought this for my son for Christmas and he absolutely loves it The only thing that I do like about it is the size of the hat My son is 4 and loves,0
I just got these bowls and they are just as good as the ones that I got from the manufacturer  I had to replace a couple of bowls that were broken in the first few months of use  It was a breeze to clean  I really like the color and the texture of the bowls  I will probably buy a second,0
I always like a good western romance to read and this one did not dissapoint  It was a bit predictable but I enjoyed it at any rate,1
It was easy to set up The only thing is make sure the propeller is properly seated and if the propeller comes apart dont panic Just press the rubber stops back on to each end of the silver pin AND MAKE SURE there is water filled to the waterline on the filter hose or the top of the glass or it wont run It aerates the water very well and I have two of them in my 75 gallon tank The large unassembled carbon filters will fit well into the rounded filter casing but you only insert the carbon pouch MINUS the plastic The filter housing that comes with this unit is durable and reusable You just pinch the spring tab at the top and the carbon filter will come out the bottom I just put it in today and there is just the noise of the water flowing back into the tank I dont mind it at all Just turn the TV up a notch,1
All aboard the Orient Express an island with a distinct feel of history a history of the past and an art museum,0
I have NEVER EVER had a problem with the knee pads being stretched or pulled up too much These are not the best pads but they are the best They do NOT stretch or pull up when you are sitting on a bench This is why I ordered these They are comfortable and have a great feel They are made well and I am very happy with them I would not buy again Great I like that the strap is longer than the standard ones You can change the strap length but it is not necessary Im glad I found this I have used this for a couple of months now It is very easy to use and to set up It is very quiet I have had no problems with the rain fly catching the rain from my car I would recommend this to anyone My only complaint is that the handle is a little snug I use this to hold a 5 pound bow and it is good,0
I hate to see the rating on this film misrepresented so I have to rate it  Aside from the lousy picture and sound the movie stinks  Hard to believe both John Sturges and Charles Bronson were involved in this schlup if thats even a word,1
Both my husband and myself are both members of the Sisters of Mercy Church a small religious community We are both members of the Christian,0
Finally bought this item then ended up buying 3 more A very nice good looking quality fixture for a low price,1
This is worth every penny  Excellent movie  Highly recommend itIf you are a fan of the twopart series then you will love this one  The chemistry between the characters is welldone  I would recommend itThis movie is excellent The acting is outstanding The storyline is interesting and the directing is outstanding The story is a little slow at times but overall a very good movieI love this series I loved the way they created the characters I loved the way the series turned out Im not sure why the producers didnt make it more interesting I like that they didnt try to put every one of the characters into a movieIm a huge fan of the WW2 movie genre  Ive watched all of the WW2 movies and the ones that Ive seen in the past ,0
I have a little 8 pound lab and she has a thick coat This is the only one we have that we know of that doesnt have a lot of hair on it I have used this product for about a year now and it works great I have had no adverse reactions to it I will keep buying it,0
Lilo and Stitch is a perfect combination with the exception of the first half of the movie which is basically a very dark movie with the viewer experiencing a good ending The only thing that I found in the film was that it was a very dark movie The film seemed to have a lot of blood and gore which was a very rare occurrence for a movie The only thing that I did not like was that the two men were all in the same room which was very strange considering that the film was shot in the same room The first half of the movie is a very dark film with the viewer experiencing a good ending The only thing that I found in the film was that it was a very dark movie The only thing that I found in the film was that it was a very dark movie The only thing that I found in the film was that it was a very dark movie The only thing that I did not like was that the two men were all in the same room which was very strange considering that the film was shot in the same room The second half of the movie is a very dark movie with the viewer experiencing a good ending The only thing that I found in the film was that it was a very dark movie,0
Very cute I just wish it had more colors Very good quality Nice bag,0
pushed 15 flat pretty good and it feels good on my wrist,0
This is a nice travel portfolio Its a good size   about 6 inches wide by 9 inches tall and a good 2 inches deep with room for more if you dont mind it bulging a bit You can sling it over your shoulder or strap it to your belt like a Renaissance Faire pouchIt has all kinds of compartments In the back are a zippered pouch running the full length of the thing about 7 inches from where the zipper is placed and another zipped pouch gives access to the back of the flap where you could stash some cash or change or a credit card or two if you want to keep them in a less obvious placeThe front opens up two ways  from the bottom up and from the right like a book If you flip up the top flap there is a small pocket in front and access to the main pouch If you open it up from the right via a Velcro strap  you have slots for credit cards and ID five slots total one seethru a place to slip a pen and three other assorted pouches on the right sideThe stitching seems sturdy I like Rothco products and Ive found them to hold up well Ill update this review if there are any changes where durability are concerned All in all Im pleased other than the fact that my Earth Brown turned out to be Dark Brown a color not even listed as an option by Amazon The tag says Earth Brown but is not the color shown on the ordering pageI wont knock it a star for that though Id rather have the Earth Brown I ordered or at least something that resembles Earth Brown more than a bar of chocolate,1
These pillows were no better than the cheap 5 pillows you can find at any lowrent discount bricksandmortar store  Since the Dream Supreme pillow set cost far more than 5 I am extremely disappointed and Ive initiated a return and refund request with AmazonThere is absolutely no neck or head support  those cheap pillows they give you on airplanes provide more support than these alleged Dream Supreme pillows I woke up with a hideous neckache which is not something Ive ever experienced before  Dont waste a dime of your hardearned money buying these cheap junk pillows with a fancy expensivesounding alias  Theyre junkEdited to add Amazon is a worldclass fivestar company The return and refund for this purchase was handled without any hassles or problems,1
All of my cats like this food and the taste is good  My only complaint is the ingredients,0
It may work for others but I wouldnt recommend this to anyone who is a strong chewer  If your dog is a chewer then the Tasers are greatI have used this product for about a year now and it works,0
The girls know all the songs and the pieces are just right  There is a lot of variety,0
This is a great die I have an old Burris one and this one is a pretty good one The only thing I wish it had was a bit more punch,0
Bought two and returned two  I have a very picky dog and this is the only one he will eat  The only thing I can say is,0
This is greatIts light comfortable and has the wide brim I also love that its been used to hold my,0
they look pretty will see some wear and tear on them but overall they are just the right size,0
